unix,date,open,high,low,close,volume_base
1662643800,2022-09-08 13:30:00,19122.59,19358.94,19070.0,19227.67,14044.37
1662645600,2022-09-08 14:00:00,19227.67,19310.0,19093.6,19239.16,10958.57848
1662647400,2022-09-08 14:30:00,19239.16,19320.44,19197.26,19315.83,8454.79155
1662649200,2022-09-08 15:00:00,19314.44,19349.46,19280.25,19284.89,7073.8999
1662651000,2022-09-08 15:30:00,19284.89,19345.0,19226.02,19250.81,5984.26428
1662715800,2022-09-09 09:30:00,20667.73,20767.43,20631.6,20747.46,7113.3635
1662717600,2022-09-09 10:00:00,20747.46,20890.0,20715.0,20861.63,8704.86364
1662719400,2022-09-09 10:30:00,20861.63,21200.0,20845.16,21074.56,17156.44549
1662721200,2022-09-09 11:00:00,21074.89,21090.83,20952.89,20992.86,9756.95694
1662723000,2022-09-09 11:30:00,20992.86,21043.5,20879.1,20937.72,8606.07689
1662724800,2022-09-09 12:00:00,20937.72,21076.59,20918.44,21054.25,9356.87578
1662726600,2022-09-09 12:30:00,21054.24,21261.22,21043.58,21074.36,13784.84508
1662728400,2022-09-09 13:00:00,21075.04,21096.3,20912.37,20951.46,10385.54126
1662730200,2022-09-09 13:30:00,20950.54,21045.59,20930.48,21004.97,11342.98257
1662732000,2022-09-09 14:00:00,21003.75,21124.4,20972.0,21009.73,11264.48285
1662733800,2022-09-09 14:30:00,21009.73,21105.98,20964.42,21100.12,9093.59232
1662735600,2022-09-09 15:00:00,21100.69,21250.01,21057.02,21205.71,11637.34476
1662737400,2022-09-09 15:30:00,21205.71,21337.72,21163.19,21266.79,13010.88498
1662802200,2022-09-10 09:30:00,21345.55,21367.66,21300.01,21321.97,4667.41464
1662804000,2022-09-10 10:00:00,21322.5,21328.76,21253.5,21327.87,5887.40867
1662805800,2022-09-10 10:30:00,21327.87,21386.94,21308.82,21340.75,5711.09543
1662807600,2022-09-10 11:00:00,21341.17,21375.6,21314.56,21337.36,4956.32732
1662809400,2022-09-10 11:30:00,21337.36,21339.41,21282.02,21285.11,4374.90042
1662811200,2022-09-10 12:00:00,21285.11,21363.01,21169.25,21287.8,8350.89639
1662813000,2022-09-10 12:30:00,21287.8,21321.39,21249.03,21309.23,7522.93681
1662814800,2022-09-10 13:00:00,21308.63,21313.15,21200.0,21262.39,6266.86242
1662816600,2022-09-10 13:30:00,21262.95,21278.92,21132.0,21174.38,6596.60345
1662818400,2022-09-10 14:00:00,21172.82,21277.0,21111.13,21266.27,6744.05026
1662820200,2022-09-10 14:30:00,21265.63,21283.23,21225.0,21242.48,5669.5487
1662822000,2022-09-10 15:00:00,21242.48,21296.1,21205.0,21258.1,5816.8439
1662823800,2022-09-10 15:30:00,21258.1,21287.93,21190.09,21219.36,5651.84584
1662888600,2022-09-11 09:30:00,21606.13,21665.4,21584.22,21604.0,4274.81388
1662890400,2022-09-11 10:00:00,21604.14,21645.76,21600.01,21616.76,3592.59876
1662892200,2022-09-11 10:30:00,21617.22,21676.52,21571.43,21593.97,5368.83943
1662894000,2022-09-11 11:00:00,21594.82,21698.36,21593.2,21658.45,6055.43966
1662895800,2022-09-11 11:30:00,21658.49,21679.6,21601.81,21613.03,5136.6527
1662897600,2022-09-11 12:00:00,21613.03,21640.5,21500.0,21593.4,7505.28843
1662899400,2022-09-11 12:30:00,21593.27,21653.15,21592.48,21615.47,6251.17866
1662901200,2022-09-11 13:00:00,21616.74,21627.32,21550.0,21564.58,6058.53927
1662903000,2022-09-11 13:30:00,21564.69,21578.01,21506.3,21542.93,5274.87145
1662904800,2022-09-11 14:00:00,21542.93,21568.18,21455.0,21487.38,6856.40145
1662906600,2022-09-11 14:30:00,21487.38,21529.0,21480.69,21511.69,5016.13578
1662908400,2022-09-11 15:00:00,21511.69,21619.0,21496.37,21615.38,6748.22151
1662910200,2022-09-11 15:30:00,21615.38,21753.75,21610.37,21643.16,9758.88128
1662975000,2022-09-12 09:30:00,22188.64,22221.51,22122.3,22167.34,8045.17701
1662976800,2022-09-12 10:00:00,22167.34,22169.21,21970.43,22097.85,9708.17603
1662978600,2022-09-12 10:30:00,22097.83,22222.08,22088.48,22154.46,7156.80963
1662980400,2022-09-12 11:00:00,22154.46,22272.03,22102.61,22237.42,7850.95195
1662982200,2022-09-12 11:30:00,22237.42,22472.68,22220.78,22312.75,13897.26413
1662984000,2022-09-12 12:00:00,22313.57,22359.5,22202.21,22287.1,9369.19677
1662985800,2022-09-12 12:30:00,22287.1,22424.69,22280.87,22355.25,8811.75992
1662987600,2022-09-12 13:00:00,22355.25,22378.64,22280.08,22341.62,6611.92411
1662989400,2022-09-12 13:30:00,22343.09,22467.35,22277.24,22394.96,11117.61499
1662991200,2022-09-12 14:00:00,22394.96,22488.0,22328.96,22392.19,9784.06379
